id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yKeCayHCDw,,5,"2023-12-15 05:17:48",@happynesslovrr,Celeste😊,UC8uEnF-Kbqw25lwEr656xrQ,http://www.youtube.com/@happynesslovrr,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yLX8ywVwym,,0,"2023-12-15 13:26:38",@jordanalfredogonzalezolave7527,"Thanks mate@happynesslovrr",UCjn1WeDHYWQrTy91gOnQnGw,http://www.youtube.com/@jordanalfredogonzalezolave7527,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yO6aPPoBUr,,3,"2023-12-16 13:32:19",@iemandmusica,Celeste,UCv-GKqOHm9FBklt6P3yzq_Q,http://www.youtube.com/@iemandmusica,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yPbqNIS5Js,,0,"2023-12-17 03:33:21",@isaacandreiii,😊😊😊😊😊😊😊😊​@iemandmusica,UCsN1eDRDoes1-OmsjRUTIiw,http://www.youtube.com/@isaacandreiii,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yTLe_IlJn3,,11,"2023-12-18 14:20:09",@BrunoOllie,"Uhm, no... If she removed the fingers from her nose, maybe.",UCcNKxmHLF4iHJvZDF2B_b3Q,http://www.youtube.com/@BrunoOllie,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yTbD5CX61F,,4,"2023-12-18 16:44:49",@Nahmbre,"@BrunoOllieI’m sayin. This has got to be the most annoying interpretation of this song I’ve ever heard.",UCOJ-B3Zx-z8F7I3Qdm7GTSw,http://www.youtube.com/@Nahmbre,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yTxPZ6Kynu,,2,"2023-12-18 19:58:45",@BrunoOllie,"@Nahmbre Glad to be of service.",UCcNKxmHLF4iHJvZDF2B_b3Q,http://www.youtube.com/@BrunoOllie,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yYnWXbHMmo,,0,"2023-12-20 17:08:32",@Maruragakari,Me,UCvYQWtvXxoDjiSBX1iPYpfQ,http://www.youtube.com/@Maruragakari,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yYoP_p8WIy,,0,"2023-12-20 17:16:19",@jordanalfredogonzalezolave7527,"@Maruragakaribeautiful bro",UCjn1WeDHYWQrTy91gOnQnGw,http://www.youtube.com/@jordanalfredogonzalezolave7527,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yZGnV2tOA4,,0,"2023-12-20 21:33:07",@SilvanadeAndrade,"Joanna Newsom",UCrFDxeylYOgtv46Ouyt0VRQ,http://www.youtube.com/@SilvanadeAndrade,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yc657_39eU,,3,"2023-12-22 09:16:31",@markojovanovic6928,"I actually came here to see if anyone else finds it annoying",UCNkmuR-batZ19jTVKCY7-cA,http://www.youtube.com/@markojovanovic6928,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9ydLw-DvpKl,,1,"2023-12-22 20:54:11",@vikingienprius6179,"@markojovanovic6928 I’m with you bro, the whole fam was wondering if she was sick during recording or if it was recorded in a coke can lmao",UCCSpvmeeXq3gpYXhk-To34g,http://www.youtube.com/@vikingienprius6179,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9ye_w4Bprlm,,0,"2023-12-23 08:24:30",@dendengutierrez1114,"​@happynesslovrryou po sold out na po Ako mam I love you too po ba kayo sa do you want to go do df s tanay lang po kami sa",UCSIK__Ih-W5Q4RZjf6LNwcw,http://www.youtube.com/@dendengutierrez1114,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy0YPBAjN9TcK2bc8l4AaABAg.9yDuTiEzthh9yebN6ZFbCH,,0,"2023-12-23 08:37:04",@benriefranco1641,"@happynesslovrr .xGzxszg'*&zxgx",UCkGZzQ6ZBugfgeSs9bN93Uw,http://www.youtube.com/@benriefranco1641,1,Ugy0YPBAjN9TcK2bc8l4AaABAg,@jordanalfredogonzalezolave7527
Ugy7_sGaxzBfvVXzRUV4AaABAg,3,5,"2023-12-11 13:15:44",@OfficeofAlf,"Finally Coke admits THEY invented Santa. Santa is fake and does not exist. Christmas is a Christian holiday. It is the birth of CHRIST. Faith is what brings presents.",UCpTCPdSR5nDA-C7808E3ggg,http://www.youtube.com/@OfficeofAlf,0,,
Ugy7_sGaxzBfvVXzRUV4AaABAg.9yBCiZY7DwA9yBY805Z0sN,,1,"2023-12-11 16:22:50",@satie7,"They created Santa?",UCYbw51E3dKUbCpYiQbrncBg,http://www.youtube.com/@satie7,1,Ugy7_sGaxzBfvVXzRUV4AaABAg,@OfficeofAlf
Ugy7_sGaxzBfvVXzRUV4AaABAg.9yBCiZY7DwA9yE3dIMVse8,,0,"2023-12-12 15:54:05",@ramtin.rahiimi,lol@satie7,UC0kUiQKNwrSOVhVDGyZeHsA,http://www.youtube.com/@ramtin.rahiimi,1,Ugy7_sGaxzBfvVXzRUV4AaABAg,@OfficeofAlf
Ugy7_sGaxzBfvVXzRUV4AaABAg.9yBCiZY7DwA9yWecbqP4CG,,0,"2023-12-19 21:12:22",@gaiamorgosi7181,"@satie7They created the image of Santa as we know him, like with the beard and the suit, the original “santa” is Saint Nicholas, that used to give presents at the beginning of December, according to the Scriptures. Coca-Cola decided to create a universal character that could be loved by everyone, to remind everyone of this time of year, not only the Christians, if they used religious symbols they could’ve had a problem with marketing, while everyone loves Santa, and it worked so damn well.",UCxL6cMQkFs_JcNGgjwhb4HQ,http://www.youtube.com/@gaiamorgosi7181,1,Ugy7_sGaxzBfvVXzRUV4AaABAg,@OfficeofAlf
Ugzjletlh09-rOaWi2R4AaABAg,3,33,"2023-12-11 04:54:21",@SporadicScarlet,"Why did I not know this cover existed?! ❤",UCe0pbtrbzDcTG4OsF6eYTQA,http://www.youtube.com/@SporadicScarlet,0,,
Ugzjletlh09-rOaWi2R4AaABAg.9yAJLQaXRmc9yPCySMwPyd,,3,"2023-12-16 23:47:16",@rainxd9112,"What's the name of the song?",UCpDRODeMxK_YOvg0hdYf9ww,http://www.youtube.com/@rainxd9112,1,Ugzjletlh09-rOaWi2R4AaABAg,@SporadicScarlet
Ugzjletlh09-rOaWi2R4AaABAg.9yAJLQaXRmc9yPPlGdhSQm,,1,"2023-12-17 01:39:03",@SporadicScarlet,"@rainxd9112I could be Santa Clause, from a Year without a Santa Clause (aka Heat and Snow Miser lol)",UCe0pbtrbzDcTG4OsF6eYTQA,http://www.youtube.com/@SporadicScarlet,1,Ugzjletlh09-rOaWi2R4AaABAg,@SporadicScarlet
Ugzjletlh09-rOaWi2R4AaABAg.9yAJLQaXRmc9ycv3ZvzL3s,,0,"2023-12-22 16:50:41",@matthiasj3572,https://youtu.be/dyPMo845uWo?si=-sBMIanDfCEX6MRF,UCRGHNDa1qxWsT62x8QTtkCA,http://www.youtube.com/@matthiasj3572,1,Ugzjletlh09-rOaWi2R4AaABAg,@SporadicScarlet
UgyFPnvby_OICETdjMB4AaABAg,0,1,"2023-12-10 04:37:57",@Cola_Kalashni774,"_Coca-Cola Original Taste is available in Cans, PET, and Retarnuble Glass Bottles While Coca Cola Zero Sugar is Only in Cans and PET Bottles in The Philippines_ Taste The Felling (2016) from The 2016 Olympics Rio The World Needs more Santa's (2023) 　　　　_Coca - Cola_ 　　　 Real Magic® ©2023. _The Coca-Cola Company_",UC8QesXf7S9lwQUAvz9TG18A,http://www.youtube.com/@Cola_Kalashni774,0,,
UgyR1rLBG5jqVQZpWhF4AaABAg,0,0,"2023-12-10 01:04:31",@bardajejoey8893,Jdkvjdj❤❤❤,UCmCBGjQiXnLSR8NZkjWdHyA,http://www.youtube.com/@bardajejoey8893,0,,
UgwzDX9qK8ekp6fJ8Ih4AaABAg,2,6,"2023-12-09 12:38:24",@MissMcFarlaneRDR2,"Is that Celeste Epiphany singing? I recognize the voice",UC43__EC3SQnQtcXmgYcFu9w,http://www.youtube.com/@MissMcFarlaneRDR2,0,,
